tokenNumber,name,text,score,imagePath,imageUrl
7683,drifella 2 #7683,SUOF,0.7297025322914124,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKxZNRzaKiXM8gfaiLePg26zfxz3175FJj3EkcAry1RT/image.png,https://nftstorage.link/ipfs/bafybeidgthasfbogitguevjtcszdu5ns4ypys2gzx7giav4capjlvgvbta/7683.png
7683,drifella 2 #7683,Def,0.86447141567866,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKxZNRzaKiXM8gfaiLePg26zfxz3175FJj3EkcAry1RT/image.png,https://nftstorage.link/ipfs/bafybeidgthasfbogitguevjtcszdu5ns4ypys2gzx7giav4capjlvgvbta/7683.png
7683,drifella 2 #7683,> SPEED,0.775961560862405,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKxZNRzaKiXM8gfaiLePg26zfxz3175FJj3EkcAry1RT/image.png,https://nftstorage.link/ipfs/bafybeidgthasfbogitguevjtcszdu5ns4ypys2gzx7giav4capjlvgvbta/7683.png
7683,drifella 2 #7683,Be different.,0.9992084319774921,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKxZNRzaKiXM8gfaiLePg26zfxz3175FJj3EkcAry1RT/image.png,https://nftstorage.link/ipfs/bafybeidgthasfbogitguevjtcszdu5ns4ypys2gzx7giav4capjlvgvbta/7683.png
7683,drifella 2 #7683,-- BRAINS,0.8165420790513357,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HKxZNRzaKiXM8gfaiLePg26zfxz3175FJj3EkcAry1RT/image.png,https://nftstorage.link/ipfs/bafybeidgthasfbogitguevjtcszdu5ns4ypys2gzx7giav4capjlvgvbta/7683.png
7135,drifella 2 #7135,Plotnum,0.8826211861201695,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
7135,drifella 2 #7135,RHIN,0.9755787402391434,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
7135,drifella 2 #7135,5000,0.9997629225254059,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
7135,drifella 2 #7135,Fast Acting Long lasing,0.9560892115468564,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
7135,drifella 2 #7135,TIME,0.9794249385595322,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/HL3qKEfTV16FutonBTmismN4gMeLg3CcyHhSrbc34wGy/image.png,https://nftstorage.link/ipfs/bafybeihdwmdm2xdymbtcntomyj4on4rqrnmoowpyinr6cdpsixynuy4ak4/7135.png
