assetId,tokenNumber,name,text,score,imagePath
H3bBYLk4ZGnDe8ZCmEX3KdrUfFhRPmWbxNe7v8jaNqbV,7347,drifella 2 #7347,oocS4oo,0.5365042856761387,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3bBYLk4ZGnDe8ZCmEX3KdrUfFhRPmWbxNe7v8jaNqbV/image.png
H3bBYLk4ZGnDe8ZCmEX3KdrUfFhRPmWbxNe7v8jaNqbV,7347,drifella 2 #7347,Dob cooo,0.528365198108885,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3bBYLk4ZGnDe8ZCmEX3KdrUfFhRPmWbxNe7v8jaNqbV/image.png
H3n9BG4BcV1Z9jgizMq9VLX57wee4xMdnNCRHqMSzmVe,5910,drifella 2 #5910,Gster,0.9174610376358032,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3n9BG4BcV1Z9jgizMq9VLX57wee4xMdnNCRHqMSzmVe/image.png
H3AciXYz9KuL6uBqgKXLjQrKT4ZFDHVvdZVzoYUuQnfn,4733,drifella 2 #4733,MIA GOTH,0.9836210161447525,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3AciXYz9KuL6uBqgKXLjQrKT4ZFDHVvdZVzoYUuQnfn/image.png
H4JsWk4aVwrZdZyTy1YQGLzXaUW2CPCGpNDYFiKZ8GLG,7285,drifella 2 #7285,Nazi zombies,0.9542245651994433,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H4JsWk4aVwrZdZyTy1YQGLzXaUW2CPCGpNDYFiKZ8GLG/image.png
H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT,1037,drifella 2 #1037,Bringingreedom,0.9973880137716021,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT/image.png
H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT,1037,drifella 2 #1037,And Democracy,0.9986625726406391,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT/image.png
H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT,1037,drifella 2 #1037,ROTHKO MAKER,0.9723460872968038,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT/image.png
H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT,1037,drifella 2 #1037,MAF& PTVI,0.5830033779144287,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT/image.png
H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT,1037,drifella 2 #1037,ONILCh iPn bUck,0.5027665952841441,/Users/nickgeorge-studio/Projects/swagbound-new/swagbound-og-assets/lsw-corpus/output/drifella2/H3TxUpcGF98i2zjmmBszurVGJXRLRaUd2zRJ4rp7h2mT/image.png
